prompt,left_0,left_1,left_2,left_3,right_0,right_1,right_2,right_3,gt
princess peach in the mushroom kingdom,https://storage.yandexcloud.net/diffusion/867c46a9c7884e7daa20c417905a4f4a_0.png,https://storage.yandexcloud.net/diffusion/867c46a9c7884e7daa20c417905a4f4a_1.png,https://storage.yandexcloud.net/diffusion/867c46a9c7884e7daa20c417905a4f4a_2.png,https://storage.yandexcloud.net/diffusion/867c46a9c7884e7daa20c417905a4f4a_3.png,https://storage.yandexcloud.net/diffusion/a877d623ca3b42a4825354f1ff74728d_0.png,https://storage.yandexcloud.net/diffusion/a877d623ca3b42a4825354f1ff74728d_1.png,https://storage.yandexcloud.net/diffusion/a877d623ca3b42a4825354f1ff74728d_2.png,https://storage.yandexcloud.net/diffusion/a877d623ca3b42a4825354f1ff74728d_3.png,left
A Photograph of Cumulus Clouds emerging from a teacup,https://storage.yandexcloud.net/diffusion/f6f72346522c4e9abbbaad8631800a91_0.png,https://storage.yandexcloud.net/diffusion/f6f72346522c4e9abbbaad8631800a91_1.png,https://storage.yandexcloud.net/diffusion/f6f72346522c4e9abbbaad8631800a91_2.png,https://storage.yandexcloud.net/diffusion/f6f72346522c4e9abbbaad8631800a91_3.png,https://storage.yandexcloud.net/diffusion/954fce88cbdc4ea788f5fc6e83bf5417_0.png,https://storage.yandexcloud.net/diffusion/954fce88cbdc4ea788f5fc6e83bf5417_1.png,https://storage.yandexcloud.net/diffusion/954fce88cbdc4ea788f5fc6e83bf5417_2.png,https://storage.yandexcloud.net/diffusion/954fce88cbdc4ea788f5fc6e83bf5417_3.png,right
"rapunzel, wedding dress",https://storage.yandexcloud.net/diffusion/370cc96d26534ec997b828f5c9ec8acb_0.png,https://storage.yandexcloud.net/diffusion/370cc96d26534ec997b828f5c9ec8acb_1.png,https://storage.yandexcloud.net/diffusion/370cc96d26534ec997b828f5c9ec8acb_2.png,https://storage.yandexcloud.net/diffusion/370cc96d26534ec997b828f5c9ec8acb_3.png,https://storage.yandexcloud.net/diffusion/a6e759ebcd3d4a25a80e67ef836f96df_0.png,https://storage.yandexcloud.net/diffusion/a6e759ebcd3d4a25a80e67ef836f96df_1.png,https://storage.yandexcloud.net/diffusion/a6e759ebcd3d4a25a80e67ef836f96df_2.png,https://storage.yandexcloud.net/diffusion/a6e759ebcd3d4a25a80e67ef836f96df_3.png,left
"night, the ocean, the milk way galaxy",https://storage.yandexcloud.net/diffusion/a9f0ee58b64a4dca8d10612fb70f550f_0.png,https://storage.yandexcloud.net/diffusion/a9f0ee58b64a4dca8d10612fb70f550f_1.png,https://storage.yandexcloud.net/diffusion/a9f0ee58b64a4dca8d10612fb70f550f_2.png,https://storage.yandexcloud.net/diffusion/a9f0ee58b64a4dca8d10612fb70f550f_3.png,https://storage.yandexcloud.net/diffusion/2af6bcb0fd2c4807ac9046aeb62e7059_0.png,https://storage.yandexcloud.net/diffusion/2af6bcb0fd2c4807ac9046aeb62e7059_1.png,https://storage.yandexcloud.net/diffusion/2af6bcb0fd2c4807ac9046aeb62e7059_2.png,https://storage.yandexcloud.net/diffusion/2af6bcb0fd2c4807ac9046aeb62e7059_3.png,right
"spacer woman, with Symmetric features, curly(changed to taste through gens) hair with realistic proportions, wearing rugged and torn workers clothes",https://storage.yandexcloud.net/diffusion/cc02868b9dfe49ac902b1779d9c9d355_0.png,https://storage.yandexcloud.net/diffusion/cc02868b9dfe49ac902b1779d9c9d355_1.png,https://storage.yandexcloud.net/diffusion/cc02868b9dfe49ac902b1779d9c9d355_2.png,https://storage.yandexcloud.net/diffusion/cc02868b9dfe49ac902b1779d9c9d355_3.png,https://storage.yandexcloud.net/diffusion/d8d21f3f4bcf4a1da06f5e1b5402a2f4_0.png,https://storage.yandexcloud.net/diffusion/d8d21f3f4bcf4a1da06f5e1b5402a2f4_1.png,https://storage.yandexcloud.net/diffusion/d8d21f3f4bcf4a1da06f5e1b5402a2f4_2.png,https://storage.yandexcloud.net/diffusion/d8d21f3f4bcf4a1da06f5e1b5402a2f4_3.png,left
the river of time glowing in the dark,https://storage.yandexcloud.net/diffusion/f51b603f0ef24397b67976e9039ff716_0.png,https://storage.yandexcloud.net/diffusion/f51b603f0ef24397b67976e9039ff716_1.png,https://storage.yandexcloud.net/diffusion/f51b603f0ef24397b67976e9039ff716_2.png,https://storage.yandexcloud.net/diffusion/f51b603f0ef24397b67976e9039ff716_3.png,https://storage.yandexcloud.net/diffusion/8dc196ada68f4f5381f42a9e5ec3b718_0.png,https://storage.yandexcloud.net/diffusion/8dc196ada68f4f5381f42a9e5ec3b718_1.png,https://storage.yandexcloud.net/diffusion/8dc196ada68f4f5381f42a9e5ec3b718_2.png,https://storage.yandexcloud.net/diffusion/8dc196ada68f4f5381f42a9e5ec3b718_3.png,right
Computer repair. Woman building a dieselpunk computer. Glowing screens. Huge dieselpunk computer,https://storage.yandexcloud.net/diffusion/0027ea412b90407ca5ac6601c21bcfa0_0.png,https://storage.yandexcloud.net/diffusion/0027ea412b90407ca5ac6601c21bcfa0_1.png,https://storage.yandexcloud.net/diffusion/0027ea412b90407ca5ac6601c21bcfa0_2.png,https://storage.yandexcloud.net/diffusion/0027ea412b90407ca5ac6601c21bcfa0_3.png,https://storage.yandexcloud.net/diffusion/da44c3a782b24b5bb53f21dfdf8edf64_0.png,https://storage.yandexcloud.net/diffusion/da44c3a782b24b5bb53f21dfdf8edf64_1.png,https://storage.yandexcloud.net/diffusion/da44c3a782b24b5bb53f21dfdf8edf64_2.png,https://storage.yandexcloud.net/diffusion/da44c3a782b24b5bb53f21dfdf8edf64_3.png,right
"Blonde-haired beautiful Warrior Queen, in fantasy armor, with Iron crown, cross symbolism, with a fit body, dark forest background",https://storage.yandexcloud.net/diffusion/50e7869beb264120b38f0cfd96c0b42d_0.png,https://storage.yandexcloud.net/diffusion/50e7869beb264120b38f0cfd96c0b42d_1.png,https://storage.yandexcloud.net/diffusion/50e7869beb264120b38f0cfd96c0b42d_2.png,https://storage.yandexcloud.net/diffusion/50e7869beb264120b38f0cfd96c0b42d_3.png,https://storage.yandexcloud.net/diffusion/a4e42c427406447d97bd20bc729f4f39_0.png,https://storage.yandexcloud.net/diffusion/a4e42c427406447d97bd20bc729f4f39_1.png,https://storage.yandexcloud.net/diffusion/a4e42c427406447d97bd20bc729f4f39_2.png,https://storage.yandexcloud.net/diffusion/a4e42c427406447d97bd20bc729f4f39_3.png,right
steampunk city levitating above a large ocean,https://storage.yandexcloud.net/diffusion/4a2691e2c5704379bdf9592391541240_0.png,https://storage.yandexcloud.net/diffusion/4a2691e2c5704379bdf9592391541240_1.png,https://storage.yandexcloud.net/diffusion/4a2691e2c5704379bdf9592391541240_2.png,https://storage.yandexcloud.net/diffusion/4a2691e2c5704379bdf9592391541240_3.png,https://storage.yandexcloud.net/diffusion/1388431653c64d1480cf8f9ef9bb4122_0.png,https://storage.yandexcloud.net/diffusion/1388431653c64d1480cf8f9ef9bb4122_1.png,https://storage.yandexcloud.net/diffusion/1388431653c64d1480cf8f9ef9bb4122_2.png,https://storage.yandexcloud.net/diffusion/1388431653c64d1480cf8f9ef9bb4122_3.png,left
A Photo of Astronomers studying the night sky with a telescope inside Observatory,https://storage.yandexcloud.net/diffusion/9cadc86ca73046a09425b5890cda3f64_0.png,https://storage.yandexcloud.net/diffusion/9cadc86ca73046a09425b5890cda3f64_1.png,https://storage.yandexcloud.net/diffusion/9cadc86ca73046a09425b5890cda3f64_2.png,https://storage.yandexcloud.net/diffusion/9cadc86ca73046a09425b5890cda3f64_3.png,https://storage.yandexcloud.net/diffusion/369006ba66374836bf30d53c0311358f_0.png,https://storage.yandexcloud.net/diffusion/369006ba66374836bf30d53c0311358f_1.png,https://storage.yandexcloud.net/diffusion/369006ba66374836bf30d53c0311358f_2.png,https://storage.yandexcloud.net/diffusion/369006ba66374836bf30d53c0311358f_3.png,left
